Jahr,Insgesamt,Januar,Februar,Maerz,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember
1991,385147,25254,22202,27198,32601,33700,37470,38894,36790,37248,33816,31914,28060
1992,395462,24974,26001,29339,30413,40713,37547,37451,36156,35227,34856,33198,29587
1993,385384,26485,23215,27142,31285,38981,36940,36315,34757,35155,33799,28746,32564
1994,392754,27634,23279,29167,30043,36864,37128,37746,35553,35387,35362,32514,32077
1995,388003,25388,25782,30857,27895,37425,36752,38318,37583,36012,34416,31528,26047
1996,373082,23716,23707,24767,29357,32727,36979,35120,36984,34714,35835,32538,26638
1997,380835,23755,23885,28325,30503,35250,38254,37531,37090,35571,34503,29000,27168
1998,377257,26739,23432,28380,29764,37355,35808,35907,34702,34383,34419,29665,26703
1999,395689,26493,23881,28112,31484,37147,37454,39835,36526,39498,33618,31169,30472
2000,382949,25208,26964,28533,30432,39136,35041,33416,34757,35547,33254,31613,29048
2001,375345,26308,22398,27276,27546,37193,35009,36860,36105,33098,34376,32358,26818
2002,362054,22814,24854,26918,29264,33612,35741,33788,34028,35054,32140,30079,23762
2003,354534,23728,20408,25077,28528,33798,35964,36895,33269,33647,30219,27429,25572
2004,339310,21924,20169,24235,27484,31024,32676,33550,32341,33311,29902,26973,25721
2005,336619,23108,19533,21647,27629,31723,34825,32802,30443,33166,30868,26272,24603
2006,327984,19663,19335,21678,23093,31096,32487,34365,28491,33504,30209,28468,25595
2007,335845,22111,20953,26225,31093,32275,32042,32012,30979,29943,27993,26315,23904
2008,320614,22134,21167,21799,25678,31880,32147,31086,29483,29160,28874,24194,23012
2009,310806,19653,17369,21323,27560,29728,28626,30812,31003,30339,26848,25235,22310
2010,288297,15682,14874,21048,24581,24453,30728,31527,27246,28541,26949,25145,17523
2011,306266,16840,16579,22069,27104,31735,28799,27740,28583,30494,28341,23589,24393
2012,299637,20940,18062,23559,22193,30255,28420,28817,29538,28272,26662,23201,19718
2013,291105,17641,16240,19069,21980,25293,29628,32511,29237,27610,26230,23889,21777
2014,302435,19590,18741,23919,24822,28578,29085,30563,25777,27480,27665,23792,22423
2015,305659,19892,17355,21670,25155,26699,30414,31721,28978,27830,26512,26349,23084
2016,308145,19869,18599,20016,25022,28671,30424,29995,30278,31855,26158,24876,22382
